data_extracao;dep_administrativa;tipo;codigo;inep;nome;abr_nome;logradouro;numero;bairro;cep;latitude;longitude;telefone;email;url_website;blog;twitter;facebook;reg_conselho_tutelar;desc_reg_conselho_tutelar;reg_orcamento_part;desc_reg_orcamento_part;situacao_funcionamento;convenio_municipal;convenio_estadual;convenio_federal;convenio_fasc;escola_especial;cat_part_privada;cat_part_comunitaria;cat_part_confessional;cat_part_filantropica;mant_empresa_privada;mant_sindicato;mant_sistema_s;mant_ong;mant_apae;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;111;43173675;EMEI DO JARDIM SALOMONI                                 ;SALOMONI                      ;R JOAQUIM DE CARVALHO                             ;325;VILA NOVA           ;91740840;-301.165;-512.205;32464712;emei.jardimsalomoni@smed.prefpoa.com.br           ;http://websmed.portoalegre.rs.gov.br/escolas/jardimsalomoni/                                        ;;;;6;CENTRO SUL/SUL;12;CENTRO-SUL;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;112;43173667;EMEI DA VILA MAX GEISS                                  ;MAX GEISS                     ;R ANTONIO FRANCISCO LISBOA                        ;400;RUBEM BERTA         ;91180040;-30.008;-510.968;33653448;emei.vilamaxgeiss@smed.prefpoa.com.br             ;http://websmed.portoalegre.rs.gov.br/escolas/vilamaxgeiss/                                          ;;;;10;NORDESTE/EIXO BALTAZAR;14;EIXO BALTAZAR;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;113;43173659;EMEI MARIA HELENA CAVALHEIRO GUSMÃƒO                     ;MARIA HELENA                  ;R SILVINO OLIVEIRA                                ;250;VILA NOVA           ;91750057;-30.124.899.999.999.900;-5.121.939.999.999.990;32895851;emei.mariahelenagusmao@smed.prefpoa.com.br        ;http://websmed.portoalegre.rs.gov.br/escolas/mhgusmao/                                              ;;;;6;CENTRO SUL/SUL;12;CENTRO-SUL;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;115;43173632;EMEI VALE VERDE                                         ;VALE VERDE                    ;BC FRANKLIN                                       ;270;JARDIM SABARÃ       ;91210060;-300.408;-511.431;33862044;emei.valeverde@smed.prefpoa.com.br                ;http://websmed.portoalegre.rs.gov.br/escolas/valeverde/                                             ;;;;3;BOM JESUS/LESTE;3;LESTE;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;116;43173624;EMEI DA VILA ELIZABETH                                  ;VILA ELIZABETH                ;R PAULO GOMES DE OLIVEIRA                         ;120;SARANDI             ;91120570;-299.803;-511.271;33645013;emei.vilaelizabeth@smed.prefpoa.com.br            ;http://websmed.portoalegre.rs.gov.br/escolas/vilaelizabeth/                                         ;;;;2;SARANDI/NORTE;5;NORTE;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;117;43173616;EMEI DA VILA FLORESTA                                   ;VILA FLORESTA                 ;R MONTE ALEGRE                                    ;55;JARDIM FLORESTA     ;91040120;-300.035;-511.562;33622088;emei.vilafloresta@smed.prefpoa.com.br             ;http://websmed.portoalegre.rs.gov.br/escolas/vilafloresta/                                          ;;;;2;SARANDI/NORTE;2;NOROESTE;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;118;43173608;EMEI MARIA MARQUES FERNANDES                            ;MARIA MARQUES                 ;AV SANTO DIAS DA SILVA                            ;550;LOMBA DO PINHEIRO   ;91550500;-300.967;-511.327;33191208;emei.mariafernandes@smed.prefpoa.com.br           ;http://websmed.portoalegre.rs.gov.br/escolas/mariamarquesfernandes/                                 ;;;;9;LOMBA DO PINHEIRO/AGRONOMIA;4;LOMBA DO PINHEIRO;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;119;43173594;EMEI VILA NOVA                                          ;VILA NOVA                     ;R FERNANDO PESSOA                                 ;350;VILA NOVA           ;91750340;-30.126.099.999.999.900;-51.209.399.999.999.900;32895853;emei.vilanova@smed.prefpoa.com.br                 ;                                                                                                    ;;;;6;CENTRO SUL/SUL;15;SUL;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;120;43173586;EMEI DOM LUIZ DE NADAL                                  ;LUIZ DE NADAL                 ;R DR CARLOS NIEDERAUER HOFMEISTER                 ;587;RESTINGA            ;          ;-301.504;-511.395;32481410;emei.luizdenadal@smed.prefpoa.com.br              ;                                                                                                    ;;;;7;RESTINGA/EXTREMO-SUL;8;RESTINGA;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;121;43173578;EMEI FLORÃŠNCIA VURLOD SOCIAS                            ;FLORENCIA                     ;R TEN ARIZOLY FAGUNDES                            ;250;RESTINGA            ;91790520;-301.536;-511.433;32501703;emei.florenciasocias@smed.prefpoa.com.br          ;http://websmed.portoalegre.rs.gov.br/escolas/florenciavsocias/                                      ;;;;7;RESTINGA/EXTREMO-SUL;8;RESTINGA;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;122;43173560;EMEI DA VILA NOVA RESTINGA                              ;NOVA RESTINGA                 ;R ALVARO DIFINI                                   ;480;RESTINGA            ;91790560;-30.148.699.999.999.900;-51.145.199.999.999.900;32501600;emei.vilanovarestinga@smed.prefpoa.com.br         ;                                                                                                    ;;;;7;RESTINGA/EXTREMO-SUL;8;RESTINGA;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;123;43173551;EMEI DA VILA DA PÃSCOA                                  ;VILA DA PÃSCOA                ;R LORIS JOSE ISATTO                               ;0;RUBEM BERTA         ;91160160;-299.928;-511.067;33673434;emei.viladapascoa@smed.prefpoa.com.br             ;http://websmed.portoalegre.rs.gov.br/escolas/vilapascoa/                                            ;;;;2;SARANDI/NORTE;5;NORTE;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;124;43173543;EMEI DA VILA TRONCO                                     ;VILA TRONCO                   ;AV MOAB CALDAS                                    ;129;SANTA TEREZA        ;90880310;-300.679;-512.145;32669519;emei.vilatronco@smed.prefpoa.com.br               ;                                                                                                    ;;;;5;GLÃ“RIA/CRUZEIRO/CRISTAL;10;CRUZEIRO;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;125;43173535;EMEI DR WALTER SILBER                                   ;WALTER SILBER                 ;RUA FREI CLEMENTE                                 ;150;VILA SÃƒO JOSÃ‰       ;91520260;-300.708;-511.698;33361893;emei.waltersilber@smed.prefpoa.com.br             ;http://websmed.portoalegre.rs.gov.br/escolas/drwaltersilber/                                        ;;;;4;PARTENON;7;PARTENON;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;126;43173527;EMEI DOS MUNICIPÃRIOS TIO BARNABÃ‰                       ;TIO BARNABÃ‰                   ;R OTTO ERNST MEYER                                ;55;AZENHA              ;90050060;-300.464;-512.157;32274591;emei.tiobarnabe@smed.prefpoa.com.br               ;http://websmed.portoalegre.rs.gov.br/escolas/barnabe/                                               ;;;;8;CENTRO;16;CENTRO;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;127;43173519;EMEI PARQUE DOS MAIAS II                                ;EMEI PARQUE                   ;R AMAURI CAFRUNE                                  ;149;RUBEM BERTA         ;91170075;-300.048;-51.095;33673816;emei.parquedosmaias2@smed.prefpoa.com.br          ;http://websmed.portoalegre.rs.gov.br/escolas/parquemaias/parquemaias/                               ;;;;10;NORDESTE/EIXO BALTAZAR;5;NORTE;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;128;43173500;EMEI DA VILA NOVA SÃƒO CARLOS                            ;NOVA SÃƒO CARLOS               ;C ESTR JOAO DE OLIVEIRA REMIAO                    ;1;LOMBA DO PINHEIRO   ;91560695;-301.107;-511.106;33191146;emei.vilanovasaocarlos@smed.prefpoa.com.br        ;http://websmed.portoalegre.rs.gov.br/escolas/vilanovasaocarlos/                                     ;;;;9;LOMBA DO PINHEIRO/AGRONOMIA;4;LOMBA DO PINHEIRO;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;129;43173497;EMEI DA VILA MAPA II                                    ;VILA MAPA II                  ;RUA PEDRO GOLOMBIEWSKI                            ;100;LOMBA DO PINHEIRO   ;91550230;-300.961;-511.345;33191633;emei.vilamapa2@smed.prefpoa.com.br                ;http://websmed.portoalegre.rs.gov.br/escolas/vilamapaii/                                            ;;;;9;LOMBA DO PINHEIRO/AGRONOMIA;4;LOMBA DO PINHEIRO;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;130;43175163;EMEI ILHA DA PINTADA                                    ;ILHA DA PINTADA               ;R GARRUCHOS                                       ;0;ARQUIPÃ‰LAGO         ;90090080;-30.016.499.999.999.900;-512.604;32117542;emei.ilhadapintada@smed.prefpoa.com.br            ;http://websmed.portoalegre.rs.gov.br/escolas/ilhadapintada/index.htm                                ;;;;1;ILHAS, HUMAITA/NAVEGANTES;17;ILHAS;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;131;43173489;EMEI JARDIM CAMAQUÃƒ                                     ;JARDIM CAMAQUÃƒ                ;R JARDIM DAS BROMÃ‰LIAS                            ;1;CAMAQUÃƒ             ;91920400;-301.116;-512.354;32414986;emei.jardimcamaqua@smed.prefpoa.com.br            ;http://websmed.portoalegre.rs.gov.br/escolas/camaqua/index.htm                                      ;;;;6;CENTRO SUL/SUL;12;CENTRO-SUL;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;132;43173470;EMEI PADRE Ã‚NGELO COSTA                                 ;PE Ã‚NGELO COSTA               ;RUA PRIMEIRO DE MARÃ‡O                             ;300;VILA SÃƒO JOSÃ‰       ;91520620;-30.066;-511.676;32895900;emei.angelocosta@smed.prefpoa.com.br              ;http://websmed.portoalegre.rs.gov.br/escolas/padreangelocosta/                                      ;;;;4;PARTENON;7;PARTENON;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;133;43173462;EMEI PROTÃSIO ALVES                                     ;PROTÃSIO ALVES                ;R ARACY FROES                                     ;210;JARDIM SABARÃ       ;91210230;-300.395;-511.443;33383510;emei.protasioalves@smed.prefpoa.com.br            ;http://websmed.portoalegre.rs.gov.br/escolas/protasioalves/index.htm                                ;;;;3;BOM JESUS/LESTE;3;LESTE;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;134;43173454;EMEI NOVA GLEBA                                         ;NOVA GLEBA                    ;R GUIDO ALBERTO WERLANG                           ;747;RUBEM BERTA         ;91170300;-299.991;-510.934;33674007;emei.novagleba@smed.prefpoa.com.br                ;http://websmed.portoalegre.rs.gov.br/escolas/novagleba                                              ;;;;10;NORDESTE/EIXO BALTAZAR;5;NORTE;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;135;43175155;EMEI DA VILA SANTA ROSA                                 ;SANTA ROSA                    ;AV DONARIO BRAGA                                  ;1;RUBEM BERTA         ;91160360;-29.998;-511.032;33876499;emei.vilasantarosa@smed.prefpoa.com.br            ;http://websmed.portoalegre.rs.gov.br/escolas/vilasantarosa/                                         ;;;;10;NORDESTE/EIXO BALTAZAR;5;NORTE;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;136;43175147;EMEI HUMAITÃ                                            ;HUMAITÃ                       ;RUA DR CAIO BRANDÃƒO DE MELLO                      ;1;HUMAITÃ             ;90250110;-299.804;-511.855;33744223;emei.humaita@smed.prefpoa.com.br                  ;http://websmed.portoalegre.rs.gov.br/escolas/humaita                                                ;;;;1;ILHAS, HUMAITA/NAVEGANTES;1;HUMAITÃ/NAVEGANTES;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;137;43175139;EMEI PONTA GROSSA                                       ;PONTA GROSSA                  ;ESTR RETIRO DA PONTA GROSSA                       ;3581;PONTA GROSSA        ;91780590;-30.185;-512.103;32464812;emei.pontagrossa@smed.prefpoa.com.br              ;http://websmed.portoalegre.rs.gov.br/escolas/pgrossa/                                               ;;;;7;RESTINGA/EXTREMO-SUL;13;EXTREMO SUL;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;138;43177026;EMEI DA VILA VALNERI ANTUNES                            ;VALNERI                       ;AV MARTIM FELIX BERTA                             ;2353;RUBEM BERTA         ;91270650;-300.304;-51.112;32895842;emei.vilavalneriantunes@smed.prefpoa.com.br       ;http://websmed.portoalegre.rs.gov.br/escolas/valneriantunes/                                        ;;;;10;NORDESTE/EIXO BALTAZAR;6;NORDESTE;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;139;43181112;EMEI OSMAR DOS SANTOS FREITAS                           ;OSMAR FREITAS                 ;BC UM RUA DONA OTILIA                             ;497;SANTA TEREZA        ;90830582;-300.805;-512.279;32666766;emei.osmarfreitas@smed.prefpoa.com.br             ;http://websmed.portoalegre.rs.gov.br/escolas/osmarsantos/                                           ;;;;5;GLÃ“RIA/CRUZEIRO/CRISTAL;10;CRUZEIRO;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
2022-01-01 04:20:54.753;MUNICIPAL;EDUCAÃ‡ÃƒO INFANTIL;140;43181376;EMEI PAULO FREIRE                                       ;PAULO FREIRE                  ;AV MERIDIONAL                                     ;0;RESTINGA            ;91790070;-301.561;-511.381;32502430;emei.paulofreire@smed.prefpoa.com.br              ;http://websmed.portoalegre.rs.gov.br/escolas/paulofreire/                                           ;;;;7;RESTINGA/EXTREMO-SUL;8;RESTINGA;EM ATIVIDADE;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;NÃƒO;;
